name,description
Philosophers,Thinkers who have contributed to philosophical thought and wisdom
Writers,Authors and poets known for their literary works and memorable quotes
Political Leaders,Statesmen and leaders known for their political influence and speeches
Religious Figures,Spiritual leaders and religious thinkers known for their teachings
Military Leaders,Commanders and strategists known for their military wisdom
Economists,Thinkers who have contributed to economic theory and practice
Psychologists,Experts in human behavior and mental processes
Linguists,Scholars of language and communication
Characters,Fictional characters known for their memorable quotes and wisdom
Relationships,Experts in human relationships and connection 
